id;title;unique_number;issue_date;execution_date;bpms_approve_status
c2cff3b0-5f1b-482b-948d-80168e78967a;تازه;وایسا شهر خواستن;2024-06-10T09:27:33;2024-06-09T23:23:03;32406
1a4fa322-2071-4e23-9e8a-d2d764086c39;موسیقی آهان بالا;نامناسب;2024-06-10T10:36:04;2024-06-10T07:17:58;23418
bc9a4f39-c834-4279-9d45-f346731b170e;اِی وای;powerfully نامناسب;2024-06-09T19:20:38;2024-06-09T23:53:28;18376
dcfcb71d-72b0-489d-8f51-f0d671509e66;نزدیک سفارش دادن;فارسی;2024-06-10T04:51:03;2024-06-09T17:13:07;5938
ce452bdb-2373-4756-933d-8e955820b8a2;bleakly احساس کردن;اوه بودن;2024-06-10T06:25:44;2024-06-09T23:38:00;22085
835a1682-a298-4bb9-9cbd-cb1c30f9c794;پیچیده چون اوه;آهان از قبل از;2024-06-09T22:19:20;2024-06-10T11:27:54;6048
1d073451-d0f4-4c3a-b8a6-249b521cef57;warmly اما hungrily;برای دست;2024-06-10T07:34:49;2024-06-09T21:18:30;28546
bfd5bec6-6fb7-4cdd-b243-a1211ec771f7;frankly به هیچ وجه زیرا;آتش بلکه روستا;2024-06-10T03:04:05;2024-06-10T05:40:50;2041
bdf96153-1a22-4c3f-920c-df3e2413a3d7;تلویزیون quizzically;آهان دستکش;2024-06-10T06:01:50;2024-06-09T22:08:44;14727
3123a02f-aaaf-4558-bbdb-1e22e24a37c7;خنده خوب;به تناسب;2024-06-10T09:55:40;2024-06-10T06:26:01;13066
