id;issue_date_time;total_amount;jhi_desc;doc_number
1;2024-06-09T20:47:03;11898.37;کامپیوتر آغاز کردن slowly;elegantly هورا فنی
2;2024-06-10T02:45:59;6878.27;شیر playfully;باور کردن آمدن اگرچه
3;2024-06-10T14:15:45;2500.27;ورزشی مناسب بدون;بدون روستایی یا
4;2024-06-10T12:05:09;30381.99;verbally;پیراهن در کنار
5;2024-06-10T15:29:15;15131.97;مدرسه واو;برخلاف تا
6;2024-06-10T10:57:22;11318.97;برنده شدن خواب jealously;سفارش دادن
7;2024-06-10T02:08:26;27620.34;هورا;کارگر خسته‌کننده deceivingly
8;2024-06-09T18:52:10;29734.93;دندانپزشک;هنرمند
9;2024-06-10T15:30:23;27737.42;چون;یاالله نوشتن
10;2024-06-10T09:10:01;23311.46;یاالله مهندس همچنین;بین‌المللی afterwards آهان
